block_id,drug1,drug2,conc_unit1,conc_unit2,input_type,replicate,ZIP_synergy_p_value,HSA_synergy_p_value,Bliss_synergy_p_value,Loewe_synergy_p_value,ZIP_synergy,HSA_synergy,Bliss_synergy,Loewe_synergy,ic50_1,ic50_2,ri_1,ri_2,css1_ic502,css2_ic501,css
1,Anchor,Test_Compound01,uM,uM,viability,FALSE,2.10e-02,4.10e-01,1.10e-02,3.91e-01,-5.720655701595881,-1.8499471633041034,-6.907218646835693,-1.7236659749276546,4.934032298241393e-4,0.003096253311275807,26.336,16.468,30.305,15.247,22.776
2,Anchor,Test_Compound02,uM,uM,viability,FALSE,7.98e-01,2.57e-01,6.79e-01,4.91e-01,0.3599039458438881,1.4392941946374251,0.5935096120209958,0.981047655045063,6.137360613770649e-4,0.04278755249759158,48.994,1.779,49.462,28.68,39.071
3,Anchor,Test_Compound03,uM,uM,viability,FALSE,7.77e-01,4.85e-01,3.10e-01,6.68e-01,-0.2502000698305459,0.7219386888082349,-0.9547264220995024,0.5498343272651792,8.217467630682034e-4,1,44.695,1.861,52.378,27.515,39.9465
4,Anchor,Test_Compound04,uM,uM,viability,FALSE,8.64e-01,7.65e-01,9.36e-01,9.67e-01,-0.34500520469114826,0.44634065468583023,0.18048600108580304,-0.07406307984388025,0.0013693105916678442,0.08882221847793606,45.444,19.495,65.168,45.855,55.5115
5,Anchor,Test_Compound05,uM,uM,viability,FALSE,7.48e-01,8.25e-04,4.59e-01,5.56e-03,0.6502698944291866,4.291638331421302,1.725952200146394,3.4517883085005057,0.0011995943425991216,0.0751191436152927,46.96,9.427,60.677,45.873,53.275
6,Anchor,Test_Compound06,uM,uM,viability,FALSE,9.72e-03,8.28e-05,5.39e-03,8.02e-04,4.8547423333759445,8.00423857058138,5.290819592291626,6.6702929436132194,0.001104337095356096,1,46.397,3.269,60.688,40.12,50.403999999999996
7,Anchor,Test_Compound07,uM,uM,viability,FALSE,1.18e-01,7.59e-02,1.61e-02,5.00e-01,-2.1963730244946746,1.938803030566393,-3.2693915248522267,0.8705225371317351,5.588713629142844e-4,0.06560581673004122,49.076,21.721,54.21,35.648,44.929
8,Anchor,Test_Compound08,uM,uM,viability,FALSE,5.21e-01,3.90e-02,2.95e-01,1.28e-01,-1.3537446120649714,3.394637236025847,-2.060356208565877,2.5750307307530838,6.115238158025306e-4,0.008709232509505562,40.975,24.039,45.288,36.181,40.7345
9,Anchor,Test_Compound09,uM,uM,viability,FALSE,6.44e-01,6.40e-01,4.32e-01,1.98e-01,0.9897946523631894,-0.7418609664922382,1.9506164387102742,-1.9408554438988284,0.001233718383862529,0.054516537656273165,41.674,-1.373,44.125,28.163,36.144
10,Anchor,Test_Compound10,uM,uM,viability,FALSE,8.51e-06,2.53e-04,2.00e-05,1.29e-02,7.672435033346138,3.4000117693757894,7.539313516512782,2.492201922907576,4.7738773153419e-4,1,41.955,-8.514,49.776,22.781,36.2785
11,Anchor,Test_Compound11,uM,uM,viability,FALSE,3.26e-11,3.01e-01,4.48e-11,8.47e-01,-13.457010002703814,0.47671851353034145,-13.64147402301538,0.15441424633533274,0.003308853000021909,0.0013337870670841307,47.311,47.012,50.385,51.837,51.111000000000004
12,Anchor,Test_Compound12,uM,uM,viability,FALSE,2.17e-05,2.37e-05,8.29e-04,4.48e-04,7.79712715908611,7.406774657357629,6.617467859834465,7.370349240864823,0.0010210149408237093,0.11929614569985418,42.506,4.153,53.677,34.659,44.168
13,Anchor,Test_Compound13,uM,uM,viability,FALSE,8.59e-08,2.78e-04,1.52e-04,1.39e-03,7.966581232407398,13.476386285347182,6.532774910426328,10.18860238967686,8.607610985893207e-4,0.008025052978213768,43.519,18.239,65.481,37.817,51.649
14,Anchor,Test_Compound14,uM,uM,viability,FALSE,2.96e-08,1.30e-02,8.39e-08,8.58e-03,-13.11104998311843,2.513049644564287,-13.115926181545754,2.120134216996361,0.0015216374792476023,6.507609973198753e-5,45.554,52.267,56.298,55.296,55.797
15,Anchor,Test_Compound15,uM,uM,viability,FALSE,2.85e-02,6.07e-01,3.17e-02,8.26e-01,-5.6255439161332905,0.9969754241917298,-5.69451583900181,0.44432064800738447,8.10622012774855e-4,0.03687607713059245,49.367,31.584,62.86,49.097,55.9785
